Doctor's Name,Speciality,Keywords,Experience (Years),Rating,Location,Treated_Diseases,Phone,Email
Dr. Neha Sharma,Cardiologist,"Chest Pain, Palpitations, Shortness of Breath",9,4.1,Mumbai,"ECG, Echocardiography",+91 98567 89012,neha.sharma@heartspecialist.com
Dr. Suresh Patel,Dermatologist,"Acne, Eczema, Psoriasis, Rashes",24,4.6,Delhi,"Laser Hair Removal, Chemical Peels",+91 99678 90123,suresh.patel@skinclinic.com
Dr. Divya Nair,Neurologist,"Headaches, Migraines, Memory Loss, Seizures",12,4.3,Bangalore,"Epilepsy Management, Stroke Treatment",+91 97789 01234,divya.nair@braindoctor.com
Dr. Arun Kumar,Orthopedic Surgeon,"Knee Pain, Back Pain, Shoulder Pain, Fractures",38,4.9,Chennai,"Joint Replacement, Arthroscopic Surgery",+91 96890 12345,arun.kumar@bonesurgeon.com
Dr. Preeti Jain,Gynecologist,"Pregnancy, Infertility, PCOS, Menopause",21,4.7,Kolkata,"Hysterectomy, IVF",+91 95901 23456,preeti.jain@womenshealthdoc.com
Dr. Karthik Reddy,Pediatrician,"Fever, Cough, Cold, Vaccinations, Growth Issues",40,4.4,Hyderabad,"Well-Child Visits, Immunizations",+91 94012 34567,karthik.reddy@childrendoc.com
Dr. Sunita Das,Gastroenterologist,"Abdominal Pain, Diarrhea, Constipation, Bloating",17,4.2,Pune,"Colonoscopy, Endoscopy",+91 93123 45678,sunita.das@digestivedoc.com
Dr. Rohan Patel,ENT Specialist,"Ear Infections, Sinusitis, Sore Throat, Hearing Loss",6,4.5,Ahmedabad,"Tonsillectomy, Septoplasty",+91 92234 56789,rohan.patel@eardoctor.com
Dr. Shilpa Verma,Ophthalmologist,"Blurred Vision, Eye Pain, Cataracts, Glaucoma",15,4.8,Jaipur,"Cataract Surgery, LASIK",+91 91345 67890,shilpa.verma@eyesurgeon.com
Dr. Vijay Iyer,Urologist,"Kidney Stones, Urinary Infections, Prostate Problems, Incontinence",39,4.0,Lucknow,"Cystoscopy, Prostate Biopsy",+91 90456 78901,vijay.iyer@urologyexpert.com
Dr. Rakesh Sharma,Physician,"Fever,Cough,Headache",11,3.5,Delhi,"Viral Fever,Common Cold,Flu",+91 95243 51789,rakesh.sharma@mediclinic.com
Dr. Sunita Reddy,Physician,"Weakness,Fatigue,Weight Loss",7,4.0,Bangalore,"Anemia,Vitamin Deficiency",+91 98519 64238,sunita.reddy@bestdoc.com
Dr. Mahesh Joshi,Physician,"Diarrhea,Vomiting,Abdominal Pain",23,4.5,Mumbai,"Gastroenteritis,Food Poisoning",+91 99235 48917,mahesh.joshi@healwell.com
Dr. Priya Patel,Endocrinologist,"Diabetes,Thyroid,Hormone Imbalance",15,4.7,Chennai,"Diabetes Management,Thyroid Disorders",+91 96325 87419,priya.patel@endoexpert.com
Dr. Vikram Khanna,Oncologist,"Cancer,Tumor,Chemotherapy",10,4.3,Kolkata,"Cancer Treatment,Tumor Removal",+91 94157 89623,vikram.khanna@cancercare.com
Dr. Priya Sharma,Cardiologist,"Chest Pain, Palpitations, Shortness of Breath, High Blood Pressure",15,4.8,Mumbai,"Hypertension, Coronary Artery Disease, Heart Failure",+91 98765 43210,priya.sharma@heartcare.com
Dr. Rajesh Kumar,Dermatologist,"Acne, Eczema, Psoriasis, Skin Infections, Hair Loss",8,4.2,Delhi,"Acne Vulgaris, Atopic Dermatitis, Psoriasis",+91 99887 76655,rajesh.kumar@skinsolutions.com
Dr. Anjali Patel,Neurologist,"Headaches, Migraines, Seizures, Stroke, Numbness",22,4.9,Bangalore,"Epilepsy, Migraine, Stroke Rehabilitation",+91 97654 32109,anjali.patel@brainhealth.com
Dr. Sanjay Verma,General Physician,"Fever, Cold, Cough, Flu, Body Aches, Infections",12,4.5,Chennai,"Common Cold, Influenza, Typhoid Fever",+91 96543 21098,sanjay.verma@healthfirst.com
Dr. Deepika Reddy,Gynecologist,"Pregnancy, Infertility, Menstrual Problems, PCOS, UTI",10,4.7,Hyderabad,"PCOS, Uterine Fibroids, Endometriosis",+91 95432 10987,deepika.reddy@womenswellness.com
Dr. Amit Singh,Orthopedist,"Joint Pain, Back Pain, Fractures, Arthritis, Sports Injuries",18,4.6,Kolkata,"Osteoarthritis, Rheumatoid Arthritis, Fractures",+91 94321 09876,amit.singh@bonesupport.com
Dr. Meera Nair,Pediatrician,"Childhood Illnesses, Vaccinations, Growth Monitoring, Fever, Cough",7,4.4,Pune,"Chickenpox, Measles, Mumps",+91 93210 98765,meera.nair@childcare.com
Dr. Rohan Gupta,Ophthalmologist,"Vision Problems, Cataracts, Glaucoma, Eye Infections, Dry Eyes",14,4.8,Ahmedabad,"Cataracts, Glaucoma, Diabetic Retinopathy",+91 92109 87654,rohan.gupta@eyesight.com
Dr. Shweta Mishra,ENT Specialist,"Ear Infections, Sinusitis, Sore Throat, Hearing Loss, Tinnitus",9,4.3,Jaipur,"Tonsillitis, Sinusitis, Otitis Media",+91 91098 76543,shweta.mishra@earnosethroat.com
Dr. Vikram Joshi,Urologist,"Kidney Stones, UTI, Prostate Problems, Incontinence, Bladder Infections",20,4.9,Lucknow,"Kidney Stones, Benign Prostatic Hyperplasia (BPH)",+91 90987 65432,vikram.joshi@urologycare.com
Dr. Aarti Das,Cardiologist,"Arrhythmia, Angina, High Cholesterol, Heart Valve Problems",11,4.7,Mumbai,"Arrhythmias, Valvular Heart Disease",+91 98765 01234,aarti.das@heartclinic.com
Dr. Manish Sharma,Dermatologist,"Warts, Moles, Skin Cancer Screening, Rosacea, Dandruff",5,4.0,Delhi,"Skin Cancer, Warts, Rosacea",+91 99887 05678,manish.sharma@skindocs.com
Dr. Sunita Iyer,Neurologist,"Parkinson's Disease, Multiple Sclerosis, Epilepsy, Tremors",25,4.9,Bangalore,"Parkinson's Disease, Multiple Sclerosis",+91 97654 09876,sunita.iyer@neurocare.com
Dr. Ravi Patel,General Physician,"Diabetes, Hypertension, Thyroid Problems, Anemia, Allergies",16,4.6,Chennai,"Diabetes Mellitus, Hyperthyroidism",+91 96543 03210,ravi.patel@familydocs.com
Dr. Neha Reddy,Gynecologist,"Prenatal Care, Labor and Delivery, Postpartum Care, Menopause",13,4.8,Hyderabad,"Pregnancy complications, Menopause",+91 95432 01234,neha.reddy@womenshealth.com
Dr. Suresh Kumar,Orthopedist,"Spinal Injuries, Knee Replacement, Hip Replacement, Bursitis",28,4.7,Kolkata,"Spinal Stenosis, Knee Osteoarthritis",+91 94321 05678,suresh.kumar@bonedocs.com
Dr. Divya Nair,Pediatrician,"Asthma, Allergies, Pneumonia, Ear Infections, Diarrhea",6,4.3,Pune,"Asthma, Pneumonia",+91 93210 09876,divya.nair@childdoctors.com
Dr. Ajay Gupta,Ophthalmologist,"Refractive Errors, Macular Degeneration, Diabetic Retinopathy",19,4.9,Ahmedabad,"Myopia, Hyperopia, Astigmatism",+91 92109 03210,ajay.gupta@eyedocs.com
Dr. Pooja Mishra,ENT Specialist,"Tonsillectomy, Adenoidectomy, Sleep Apnea, Vertigo",10,4.4,Jaipur,"Adenoiditis, Vertigo",+91 91098 01234,pooja.mishra@entcare.com
Dr. Vivek Joshi,Urologist,"Erectile Dysfunction, Prostate Cancer, Vasectomy, Urinary Tract Infections",23,4.8,Lucknow,"Prostate Cancer, Erectile Dysfunction",+91 90987 05678,vivek.joshi@urologists.com
Dr. Shruti Verma,Cardiologist,"Heart Murmurs, Congenital Heart Defects, Peripheral Artery Disease",17,4.7,Mumbai,"Congenital Heart Disease, Peripheral Artery Disease",+91 97876 54321,shruti.verma@heartspecialists.com
Dr. Rohan Kapoor,Dermatologist,"Fungal Infections, Vitiligo, Hives, Alopecia Areata",6,4.1,Delhi,"Vitiligo, Fungal Skin Infections",+91 98987 65432,rohan.kapoor@dermaclinic.com
Dr. Lakshmi Menon,Neurologist,"Dementia, Alzheimer's Disease, Bell's Palsy, Carpal Tunnel Syndrome",26,4.8,Bangalore,"Alzheimer's Disease, Carpal Tunnel Syndrome",+91 96765 43210,lakshmi.menon@neurospecialists.com
Dr. Ashok Kumar,General Physician,"Respiratory Infections, Gastrointestinal Issues, Skin Rashes, Vaccinations",13,4.5,Chennai,"Gastroenteritis, Bronchitis",+91 95654 32109,ashok.kumar@familydoctors.com
Dr. Priyanka Rao,Gynecologist,"Hysterectomy, Ovarian Cysts, Pelvic Inflammatory Disease",11,4.6,Hyderabad,"Ovarian Cysts, Pelvic Inflammatory Disease",+91 94543 21098,priyanka.rao@womensclinics.com
Dr. Vijay Singh,Orthopedist,"Arthroscopic Surgery, Ligament Tears, Tendonitis, Frozen Shoulder",29,4.8,Kolkata,"Ligament Tears, Rotator Cuff Injuries",+91 93432 10987,vijay.singh@orthocare.com
Dr. Sneha Verma,Pediatrician,"Developmental Delays, Autism Spectrum Disorder, ADHD",8,4.4,Pune,"Autism Spectrum Disorder, ADHD",+91 92321 09876,sneha.verma@pediatriccenters.com
Dr. Aditya Jain,Ophthalmologist,"LASIK, Cataract Surgery, Corneal Diseases, Uveitis",20,4.9,Ahmedabad,"Corneal Ulcers, Uveitis",+91 91210 98765,aditya.jain@eyespecialists.com
Dr. Kiran Patel,ENT Specialist,"Deviated Septum, Nasal Polyps, Laryngitis, Swallowing Disorders",12,4.5,Jaipur,"Nasal Polyps, Laryngitis",+91 90109 87654,kiran.patel@entspecialists.com
Dr. Meena Sharma,Urologist,"Bladder Cancer, Testicular Cancer, Urinary Incontinence, Vesicoureteral Reflux",24,4.7,Lucknow,"Bladder Cancer, Urinary Incontinence",+91 99098 76543,meena.sharma@urologycenters.com
Dr. Sachin Gupta,Cardiologist,"Atrial Fibrillation, Cardiomyopathy, Pericarditis",19,4.8,Mumbai,"Cardiomyopathy, Atrial Fibrillation",+91 98765 67890,sachin.gupta@cardiohealth.com
Dr. Divya Iyer,Dermatologist,"Melasma, Skin Allergies, Actinic Keratosis",7,4.2,Delhi,"Skin Allergies, Actinic Keratosis",+91 99887 54321,divya.iyer@skinclinic.com
Dr. Karthik Reddy,Neurologist,"Trigeminal Neuralgia, Myasthenia Gravis, Cerebral Palsy",27,4.9,Bangalore,"Myasthenia Gravis, Trigeminal Neuralgia",+91 97654 67890,karthik.reddy@brainclinic.com
Dr. Anika Verma,General Physician,"Preventive Care, Health Checkups, Lifestyle Counseling",14,4.6,Chennai,Preventative Healthcare,+91 96543 45678,anika.verma@generalhealth.com
Dr. Siddharth Patel,Gynecologist,"Family Planning, Contraception, Vaginal Infections",12,4.7,Hyderabad,"Vaginitis, Family Planning",+91 95432 67890,siddharth.patel@womenscare.com
Dr. Ritu Sharma,Orthopedist,"Scoliosis, Kyphosis, Bone Tumors",30,4.9,Kolkata,"Scoliosis, Kyphosis",+91 94321 45678,ritu.sharma@boneandjoint.com
Dr. Vivek Nair,Pediatrician,"Newborn Care, Breastfeeding Support, Colic",9,4.5,Pune,"Newborn Jaundice, Colic",+91 93210 78901,vivek.nair@pediatrics.com
Dr. Aishwarya Gupta,Ophthalmologist,"Retinal Detachment, Age-related Macular Degeneration, Double Vision",21,5.0,Ahmedabad,"Retinal Detachment, Macular Degeneration",+91 92109 56789,aishwarya.gupta@eyecare.com
Dr. Pranav Mishra,ENT Specialist,"Chronic Cough, Hoarseness, Balance Disorders",13,4.6,Jaipur,"Balance Disorders, Chronic Cough",+91 91098 78901,pranav.mishra@entclinic.com
Dr. Shalini Joshi,Urologist,"Male Infertility, Testicular Torsion, Hydrocele",25,4.8,Lucknow,"Male Infertility, Hydrocele",+91 90987 89012,shalini.joshi@urology.com
Dr. Sameer Khan,Cardiologist,"Atherosclerosis, Cardiac Arrest, Angiography",16,4.7,Mumbai,"Atherosclerosis, Cardiac Arrest",+91 97987 65432,sameer.khan@heartsolutions.com
Dr. Tanya Patel,Dermatologist,"Pityriasis Alba, Seborrheic Dermatitis, Photodermatitis",5,3.9,Delhi,"Seborrheic Dermatitis, Photodermatitis",+91 98897 65432,tanya.patel@skinspecialists.com
Dr. Raghav Iyer,Neurologist,"Amyotrophic Lateral Sclerosis (ALS), Huntington's Disease, Multiple System Atrophy",23,4.7,Bangalore,"ALS, Huntington's Disease",+91 96876 54321,raghav.iyer@neurology.com
Dr. Shilpa Verma,General Physician,"Preventive Medicine, Vaccinations, Travel Medicine",11,4.4,Chennai,"Traveler's Diarrhea, Immunizations",+91 95765 43210,shilpa.verma@generalpractice.com
Dr. Arjun Reddy,Gynecologist,"Vaginal Prolapse, Cervical Dysplasia, Uterine Prolapse",9,4.5,Hyderabad,"Cervical Dysplasia, Uterine Prolapse",+91 94654 32109,arjun.reddy@womenshealthclinic.com
Dr. Nandini Singh,Orthopedist,"Ganglion Cyst, Plantar Fasciitis, Stress Fractures",27,4.8,Kolkata,"Plantar Fasciitis, Ganglion Cysts",+91 93543 21098,nandini.singh@orthopedics.com
Dr. Varun Nair,Pediatrician,"Failure to Thrive, Prematurity, Congenital Anomalies",7,4.3,Pune,"Prematurity, Failure to Thrive",+91 92432 10987,varun.nair@childhealth.com
Dr. Kavita Gupta,Ophthalmologist,"Stye, Chalazion, Blepharitis, Corneal Abrasion",18,4.9,Ahmedabad,"Blepharitis, Corneal Abrasion",+91 91321 09876,kavita.gupta@eyeclinic.com
Dr. Deepak Mishra,ENT Specialist,"Nasal Congestion, Epistaxis, Voice Disorders, Vocal Nodules",10,4.4,Jaipur,"Voice Disorders, Epistaxis",+91 90210 98765,deepak.mishra@entdoctors.com
Dr. Sneha Joshi,Urologist,"Overactive Bladder, Interstitial Cystitis, Pelvic Pain Syndrome",22,4.6,Lucknow,"Overactive Bladder, Interstitial Cystitis",+91 99109 87654,sneha.joshi@urologyassociates.com
Dr. Arvind Kumar,Cardiologist,"Pulmonary Hypertension, Myocarditis, Aortic Stenosis",14,4.6,Mumbai,"Pulmonary Hypertension, Myocarditis",+91 96000 00001,arvind.kumar@cardiaccenter.com
Dr. Maya Desai,Dermatologist,"Bullous Pemphigoid, Lichen Planus, Ichthyosis",11,4.3,Delhi,"Lichen Planus, Bullous Pemphigoid",+91 96000 00002,maya.desai@skinhealth.com
Dr. Rajiv Menon,Neurologist,"Restless Legs Syndrome, Peripheral Neuropathy, Muscle Weakness",31,4.6,Bangalore,"Peripheral Neuropathy, Restless Legs Syndrome",+91 96000 00003,rajiv.menon@neuroinstitute.com
Dr. Deepa Sharma,General Physician,"Autoimmune Diseases, Chronic Fatigue, Medication Management",19,4.2,Chennai,"Chronic Fatigue Syndrome, Autoimmune Disorders",+91 96000 00004,deepa.sharma@wellnessclinic.com
Dr. Karthik Reddy,Gynecologist,"Recurrent Miscarriage, Ectopic Pregnancy, Premature Rupture of Membranes",14,4.5,Hyderabad,"Ectopic Pregnancy, Recurrent Miscarriage",+91 96000 00005,karthik.reddy@womensinstitute.com
Dr. Anjali Singh,Orthopedist,"Achilles Tendon Rupture, Carpal Tunnel Release, Trigger Finger",32,4.7,Kolkata,"Achilles Tendon Rupture, Carpal Tunnel Syndrome",+91 96000 00006,anjali.singh@orthopedicsurgery.com
Dr. Sunil Nair,Pediatrician,"Febrile Seizures, Meningitis, Encephalitis, Sepsis",10,4.4,Pune,"Meningitis, Sepsis",+91 96000 00007,sunil.nair@pediatrichealthcare.com
Dr. Priyanka Gupta,Ophthalmologist,"Diabetic Eye Disease, Retinal Vein Occlusion, Optic Neuritis",22,5.0,Ahmedabad,"Diabetic Retinopathy, Retinal Vein Occlusion",+91 96000 00008,priyanka.gupta@eyespecialists.com
Dr. Rajesh Mishra,ENT Specialist,"Vocal Cord Paralysis, Laryngeal Cancer, Chronic Rhinitis",16,4.5,Jaipur,"Chronic Rhinitis, Vocal Cord Paralysis",+91 96000 00009,rajesh.mishra@entsurgery.com
Dr. Meena Joshi,Urologist,"Stress Incontinence, Urinary Retention, Prostatitis",26,4.9,Lucknow,"Prostatitis, Stress Incontinence",+91 96000 00010,meena.joshi@urologyassociates.com
Dr. Aditya Verma,Cardiologist,"Hypertrophic Cardiomyopathy, Congestive Heart Failure",20,4.9,Mumbai,"Congestive Heart Failure, Hypertrophic Cardiomyopathy",+91 96000 00011,aditya.verma@cardiacare.com
Dr. Shruti Kapoor,Dermatologist,"Granuloma Annulare, Scleroderma, Cutaneous Lupus Erythematosus",12,4.4,Delhi,"Cutaneous Lupus Erythematosus, Scleroderma",+91 96000 00012,shruti.kapoor@skinsolutions.com
Dr. Rohan Iyer,Neurologist,"Guillain-Barré Syndrome, Transverse Myelitis, Spinal Muscular Atrophy",33,4.8,Bangalore,"Guillain-Barre Syndrome, Transverse Myelitis",+91 96000 00013,rohan.iyer@neurocenter.com
Dr. Lakshmi Patel,General Physician,"Geriatric Medicine, Palliative Care, Hospice Care",21,4.6,Chennai,"Palliative care, Geriatric care",+91 96000 00014,lakshmi.patel@generalhealth.com
Dr. Vijay Reddy,Gynecologist,"Female Infertility, Endometrial Hyperplasia, Cervical Cancer Screening",15,4.7,Hyderabad,"Endometrial Hyperplasia, Female Infertility",+91 96000 00015,vijay.reddy@womenswellness.com
Dr. Anika Singh,Orthopedist,"Osteomyelitis, Septic Arthritis, Avascular Necrosis",34,4.9,Kolkata,"Osteomyelitis, Septic Arthritis",+91 96000 00016,anika.singh@orthopedicclinic.com
Dr. Vivek Nair,Pediatrician,"Cystic Fibrosis, Muscular Dystrophy, Genetic Disorders",11,4.5,Pune,"Cystic Fibrosis, Muscular Dystrophy",+91 96000 00017,vivek.nair@childdoctors.com
Dr. Aishwarya Gupta,Ophthalmologist,"Glaucoma Surgery, Retinal Laser Surgery, Strabismus Surgery",23,5.0,Ahmedabad,"Strabismus (Crossed Eyes), Glaucoma",+91 96000 00018,aishwarya.gupta@eyeinstitute.com
Dr. Pranav Mishra,ENT Specialist,"Chronic Sinusitis, Nasal Fractures, Snoring, Adenoiditis",17,4.6,Jaipur,"Chronic Sinusitis, Adenoiditis",+91 96000 00019,pranav.mishra@entcare.com
Dr. Shalini Joshi,Urologist,"Urinary Tract Obstruction, Bladder Dysfunction, Erectile Dysfunction",27,4.9,Lucknow,"Urinary Tract Obstruction, Bladder Dysfunction",+91 96000 00020,shalini.joshi@urology.com
Dr. Amit Sharma,Cardiologist,"Valve Replacement, Aortic Aneurysm, Coronary Angiogram",13,4.5,Mumbai,"Aortic Aneurysm, Valve replacement",+91 98765 78901,amit.sharma@cardioexpert.com
Dr. Priya Verma,Dermatologist,"Lipoma, Epidermoid Cyst, Angioma",9,4.1,Delhi,"Epidermoid Cysts, Lipomas",+91 99887 89012,priya.verma@skincarepro.com
Dr. Suresh Kumar,Neurologist,"Normal Pressure Hydrocephalus, Progressive Supranuclear Palsy",34,4.7,Bangalore,"Normal Pressure Hydrocephalus, Progressive Supranuclear Palsy",+91 97654 90123,suresh.kumar@brainmd.com
Dr. Neha Patel,General Physician,"Weight Management, Smoking Cessation, Stress Management",18,4.3,Chennai,"Obesity, Smoking Addiction",+91 96543 01234,neha.patel@healthyliving.com
Dr. Rajesh Reddy,Gynecologist,"Vulvodynia, Lichen Sclerosus, Vaginismus",16,4.4,Hyderabad,"Vulvodynia, Lichen Sclerosus",+91 95432 23456,rajesh.reddy@womenspecialist.com
Dr. Divya Singh,Orthopedist,"Spondylolisthesis, Spinal Cord Compression, Sciatica",35,4.8,Kolkata,"Spondylolisthesis, Sciatica",+91 94321 34567,divya.singh@boneandspine.com
Dr. Kiran Nair,Pediatrician,"Croup, Bronchiolitis, Whooping Cough",12,4.6,Pune,"Croup, Bronchiolitis",+91 93210 45678,kiran.nair@childwell.com
Dr. Sanjay Gupta,Ophthalmologist,"Retinitis Pigmentosa, Optic Atrophy, Ocular Trauma",24,4.9,Ahmedabad,"Retinitis Pigmentosa, Optic Atrophy",+91 92109 56790,sanjay.gupta@visionplus.com
Dr. Pooja Mishra,ENT Specialist,"Perforated Eardrum, Cholesteatoma, Mastoiditis",18,4.5,Jaipur,"Perforated Eardrum, Cholesteatoma",+91 91098 67890,pooja.mishra@entmaster.com
Dr. Vikram Joshi,Urologist,"Penile Cancer, Testicular Cancer, Urethral Stricture",28,4.7,Lucknow,"Penile Cancer, Urethral Stricture",+91 90987 78901,vikram.joshi@urologyexpert.com
Dr. Sunita Sharma,Cardiologist,"Ebstein's Anomaly, Tetralogy of Fallot",19,4.9,Mumbai,"Ebstein's Anomaly, Tetralogy of Fallot",+91 98765 89012,sunita.sharma@cardioelite.com
Dr. Manish Kapoor,Dermatologist,"Dermatomyositis, Morphea, Sweet's Syndrome",13,4.6,Delhi,"Dermatomyositis, Morphea",+91 99887 90123,manish.kapoor@skinhub.com
Dr. Radha Iyer,Neurologist,"Posterior Cortical Atrophy, Lewy Body Dementia",36,4.8,Bangalore,"Lewy Body Dementia, Posterior Cortical Atrophy",+91 97654 01234,radha.iyer@neurovision.com
Dr. Rahul Patel,General Physician,"Travel Vaccinations, Altitude Sickness, Jet Lag",20,4.4,Chennai,"Altitude Sickness, Jet Lag",+91 96543 12345,rahul.patel@travelhealth.com
Dr. Priyanka Reddy,Gynecologist,"Gestational Diabetes, Postpartum Depression, Placenta Previa",17,4.5,Hyderabad,"Gestational Diabetes, Placenta Previa",+91 95432 34567,priyanka.reddy@womenschoice.com
Dr. Vijay Singh,Orthopedist,"Spondylosis, Degenerative Disc Disease, Spinal Fusion",37,4.9,Kolkata,"Spondylosis, Spinal Fusion",+91 94321 45689,vijay.singh@orthospine.com
Dr. Sneha Verma,Pediatrician,"Cerebral Palsy, Down Syndrome, Spina Bifida",13,4.7,Pune,"Cerebral Palsy, Down Syndrome",+91 93210 56789,sneha.verma@childhope.com
Dr. Aditya Jain,Ophthalmologist,"Uveitis, Scleritis, Orbital Cellulitis",25,5.0,Ahmedabad,"Uveitis, Scleritis",+91 92109 67890,aditya.jain@eyewellness.com
Dr. Kiran Patel,ENT Specialist,"Globus Pharyngis, Dysphonia, Zenker's Diverticulum",19,4.8,Jaipur,"Globus Pharyngis, Zenker's Diverticulum",+91 91098 78912,kiran.patel@entease.com
Dr. Meena Sharma,Urologist,"Bladder Pain Syndrome, Testicular Hydrocele, Vasectomy Reversal",29,4.6,Lucknow,"Bladder Pain Syndrome, Vasectomy Reversal",+91 99109 89012,meena.sharma@urologyadvance.com
---,---,---,---,---,---,---,,
Dr. Arjun Sharma,Cardiologist,"Chest Pain, Palpitations, High Blood Pressure, Arrhythmia",15,4.7,Mumbai,"Heart Failure, Angina, Hypertension",+91 98765 43210,arjunsharma@heartclinic.com
Dr. Priya Patel,Dermatologist,"Acne, Eczema, Psoriasis, Skin Infections, Hair Loss",8,4.2,Delhi,"Skin Cancer, Alopecia, Urticaria",+91 99112 23344,priyapatel@skinhealth.com
Dr. Rohan Verma,Neurologist,"Headaches, Migraines, Seizures, Stroke, Parkinson's Disease",22,4.9,Bangalore,"Epilepsy, Multiple Sclerosis, Neuropathy",+91 97654 32109,rohanverma@braindoctor.in
Dr. Anjali Reddy,Gynecologist,"Pregnancy, Infertility, Menopause, PCOS, Fibroids",12,4.5,Chennai,"Endometriosis, Ovarian Cysts, Uterine Prolapse",+91 98877 66554,anjalireddy@womenshealth.com
Dr. Vikram Singh,Orthopedic Surgeon,"Fractures, Arthritis, Joint Pain, Back Pain, Sports Injuries",28,4.6,Kolkata,"Osteoarthritis, Rheumatoid Arthritis, Spinal Stenosis",+91 96543 21098,vikramsingh@bonesandjoints.com
Dr. Deepika Nair,Pediatrician,"Fever, Cough, Cold, Vaccinations, Childhood Infections, Asthma",9,4.8,Hyderabad,"Chickenpox, Measles, Mumps",+91 95432 10987,deepikanair@childcare.com
Dr. Suresh Kumar,General Physician,"Diabetes, Hypertension, Thyroid Disorders, Infections, Flu",18,4.3,Pune,"Common Cold, Influenza, Bronchitis",+91 94321 09876,sureshkumar@healthfirst.in
Dr. Meera Joshi,Ophthalmologist,"Cataracts, Glaucoma, Dry Eyes, Vision Problems, Eye Infections",10,4.4,Ahmedabad,"Macular Degeneration, Diabetic Retinopathy",+91 93210 98765,meerajoshi@eyesight.com
Dr. Amit Gupta,ENT Specialist,"Sinusitis, Tonsillitis, Hearing Loss, Ear Infections, Sore Throat",14,4.7,Jaipur,"Adenoiditis, Vertigo",+91 92109 87654,amitgupta@earsandthroat.in
Dr. Sneha Khanna,Gastroenterologist,"Abdominal Pain, Indigestion, Heartburn, Constipation, Diarrhea",7,4.1,Lucknow,"Ulcerative Colitis, Crohn's Disease, GERD",+91 91098 76543,snehakhanna@digestivedoctor.com
Dr. Rajeev Menon,Cardiologist,"Arrhythmia, Heart Murmurs, Chest Discomfort, High Cholesterol",25,4.8,Mumbai,"Cardiomyopathy, Pericarditis, Congenital Heart Defects",+91 98123 45678,rajeevmenon@heartspecialist.com
Dr. Sunita Reddy,Dermatologist,"Rashes, Allergies, Skin Cancer Screening, Scar Treatment",11,4.3,Delhi,"Melanoma, Basal Cell Carcinoma, Squamous Cell Carcinoma",+91 99876 54321,sunitareddy@skinandbeauty.com
Dr. Mahesh Kumar,Neurologist,"Memory Loss, Tremors, Balance Problems, Nerve Pain",19,4.6,Bangalore,"Alzheimer's Disease, Parkinson's Disease, Multiple Sclerosis",+91 97777 66665,maheshkumar@neurocare.in
Dr. Divya Sharma,Gynecologist,"Prenatal Care, Postnatal Care, Pap Smears, STD Testing",6,4.9,Chennai,"Vaginitis, Pelvic Inflammatory Disease, Endometriosis",+91 98665 54433,divyasharma@womenscenter.com
Dr. Praveen Iyer,Orthopedic Surgeon,"Hip Replacement, Knee Replacement, Shoulder Surgery, Carpal Tunnel",32,4.5,Kolkata,"Rotator Cuff Tear, ACL Tear, Meniscus Tear",+91 96443 32211,praveeniyer@orthopedicsurgeon.com
Dr. Anika Desai,Pediatrician,"Well-Child Visits, Immunizations, Developmental Delays, Allergies",13,4.7,Hyderabad,"Asthma, Eczema, Food Allergies",+91 95221 10099,anikadesai@pediatriccare.com
Dr. Rohan Kapoor,General Physician,"Preventive Care, Vaccinations, Health Checkups, Chronic Disease Management",21,4.2,Pune,"Arthritis, Osteoporosis, Anemia",+91 94009 98877,rohankapoor@familydoctor.in
Dr. Neha Verma,Ophthalmologist,"Refractive Surgery, LASIK, Cataract Surgery, Diabetic Eye Exams",5,4.8,Ahmedabad,"Retinal Detachment, Glaucoma",+91 93887 76655,nehaverma@visioncare.com
Dr. Vijay Sharma,ENT Specialist,"Nasal Congestion, Sleep Apnea, Swallowing Problems, Dizziness",16,4.4,Jaipur,"Deviated Septum, Tinnitus, Laryngitis",+91 92665 54433,vijaysharma@entclinic.in
Dr. Lakshmi Nair,Gastroenterologist,"Liver Disease, Pancreatitis, Colonoscopy, Upper Endoscopy",27,4.6,Lucknow,"Hepatitis, Cirrhosis, Irritable Bowel Syndrome",+91 91443 32211,lakshminair@liverdoctor.com
Dr. Sachin Patel,Cardiologist,"Valve Disease, Congestive Heart Failure, Angioplasty",17,4.9,Mumbai,"Coronary Artery Disease, Myocardial Infarction",+91 98223 34455,sachinpatel@heartcare.com
Dr. Kavita Sharma,Dermatologist,"Warts, Moles, Skin Tags, Botox, Fillers",9,4.1,Delhi,"Rosacea, Cellulitis",+91 99778 89900,kavitasharma@skindoc.com
Dr. Arun Singh,Neurologist,"Multiple Sclerosis, Amyotrophic Lateral Sclerosis (ALS), Myasthenia Gravis",24,4.7,Bangalore,"Dementia, Bell's Palsy",+91 97556 67788,arunsingh@neuroclinic.in
Dr. Priyanka Reddy,Gynecologist,"High-Risk Pregnancy, C-Sections, Hysterectomy, Family Planning",14,4.4,Chennai,"Preeclampsia, Ectopic Pregnancy",+91 98334 45566,priyankareddy@womensclinic.com
Dr. Rajesh Iyer,Orthopedic Surgeon,"Arthroscopic Surgery, Ligament Reconstruction, Spine Surgery",30,4.6,Kolkata,"Scoliosis, Kyphosis",+91 96112 23344,rajeshiyer@orthocenter.com
